date,valor,indicador,unidad,unidad_original,dimension,agregacion
1995-05-01,6.0,tpm,%,%,tasa,promedio
1995-06-01,6.0,tpm,%,%,tasa,promedio
1995-07-01,5.77,tpm,%,%,tasa,promedio
1995-08-01,5.7,tpm,%,%,tasa,promedio
1995-09-01,5.9,tpm,%,%,tasa,promedio
1995-10-01,6.38,tpm,%,%,tasa,promedio
1995-11-01,6.5,tpm,%,%,tasa,promedio
1995-12-01,6.68,tpm,%,%,tasa,promedio
1996-01-01,6.7,tpm,%,%,tasa,promedio
1996-02-01,6.7,tpm,%,%,tasa,promedio
1996-03-01,6.7,tpm,%,%,tasa,promedio
1996-04-01,7.31,tpm,%,%,tasa,promedio
1996-05-01,7.5,tpm,%,%,tasa,promedio
1996-06-01,7.5,tpm,%,%,tasa,promedio
1996-07-01,7.5,tpm,%,%,tasa,promedio
1996-08-01,7.5,tpm,%,%,tasa,promedio
1996-09-01,7.5,tpm,%,%,tasa,promedio
1996-10-01,7.5,tpm,%,%,tasa,promedio
1996-11-01,7.5,tpm,%,%,tasa,promedio
1996-12-01,7.5,tpm,%,%,tasa,promedio
1997-01-01,7.5,tpm,%,%,tasa,promedio
1997-02-01,7.31,tpm,%,%,tasa,promedio
1997-03-01,7.25,tpm,%,%,tasa,promedio
1997-04-01,7.1,tpm,%,%,tasa,promedio
1997-05-01,7.0,tpm,%,%,tasa,promedio
1997-06-01,6.8,tpm,%,%,tasa,promedio
1997-07-01,6.75,tpm,%,%,tasa,promedio
1997-08-01,6.75,tpm,%,%,tasa,promedio
1997-09-01,6.53,tpm,%,%,tasa,promedio
1997-10-01,6.5,tpm,%,%,tasa,promedio
1997-11-01,6.5,tpm,%,%,tasa,promedio
1997-12-01,6.5,tpm,%,%,tasa,promedio
1998-01-01,6.88,tpm,%,%,tasa,promedio
1998-02-01,8.35,tpm,%,%,tasa,promedio
1998-03-01,8.5,tpm,%,%,tasa,promedio
1998-04-01,8.5,tpm,%,%,tasa,promedio
1998-05-01,8.5,tpm,%,%,tasa,promedio
1998-06-01,8.5,tpm,%,%,tasa,promedio
1998-07-01,8.5,tpm,%,%,tasa,promedio
1998-08-01,8.5,tpm,%,%,tasa,promedio
1998-09-01,10.975,tpm,%,%,tasa,promedio
1998-10-01,12.7619047619048,tpm,%,%,tasa,promedio
1998-11-01,9.80952380952381,tpm,%,%,tasa,promedio
1998-12-01,8.325,tpm,%,%,tasa,promedio
1999-01-01,7.7175,tpm,%,%,tasa,promedio
1999-02-01,7.25,tpm,%,%,tasa,promedio
1999-03-01,7.21875,tpm,%,%,tasa,promedio
1999-04-01,6.57142857142857,tpm,%,%,tasa,promedio
1999-05-01,6.1,tpm,%,%,tasa,promedio
1999-06-01,5.5375,tpm,%,%,tasa,promedio
1999-07-01,5.0,tpm,%,%,tasa,promedio
1999-08-01,5.0,tpm,%,%,tasa,promedio
1999-09-01,5.0,tpm,%,%,tasa,promedio
1999-10-01,5.0,tpm,%,%,tasa,promedio
1999-11-01,5.0,tpm,%,%,tasa,promedio
1999-12-01,5.0,tpm,%,%,tasa,promedio
2000-01-01,5.02380952380952,tpm,%,%,tasa,promedio
2000-02-01,5.25,tpm,%,%,tasa,promedio
2000-03-01,5.3695652173913,tpm,%,%,tasa,promedio
2000-04-01,5.5,tpm,%,%,tasa,promedio
2000-05-01,5.5,tpm,%,%,tasa,promedio
