date,valor,indicador,unidad,unidad_original,dimension,agregacion
2000-06-01,5.5,tpm,%,%,tasa,promedio
2000-07-01,5.5,tpm,%,%,tasa,promedio
2000-08-01,5.43181818181818,tpm,%,%,tasa,promedio
2000-09-01,5.0,tpm,%,%,tasa,promedio
2000-10-01,5.0,tpm,%,%,tasa,promedio
2000-11-01,5.0,tpm,%,%,tasa,promedio
2000-12-01,5.0,tpm,%,%,tasa,promedio
2001-01-01,4.89772727272727,tpm,%,%,tasa,promedio
2001-02-01,4.675,tpm,%,%,tasa,promedio
2001-03-01,4.05,tpm,%,%,tasa,promedio
2001-04-01,3.84,tpm,%,%,tasa,promedio
2001-05-01,3.75,tpm,%,%,tasa,promedio
2001-06-01,3.59,tpm,%,%,tasa,promedio
2001-07-01,3.5,tpm,%,%,tasa,promedio
2001-08-01,6.5,tpm,%,%,tasa,promedio
2001-09-01,6.5,tpm,%,%,tasa,promedio
2001-10-01,6.5,tpm,%,%,tasa,promedio
2001-11-01,6.5,tpm,%,%,tasa,promedio
2001-12-01,6.5,tpm,%,%,tasa,promedio
2002-01-01,6.16,tpm,%,%,tasa,promedio
2002-02-01,5.83,tpm,%,%,tasa,promedio
2002-03-01,5.05,tpm,%,%,tasa,promedio
2002-04-01,4.75,tpm,%,%,tasa,promedio
2002-05-01,4.23,tpm,%,%,tasa,promedio
2002-06-01,4.0,tpm,%,%,tasa,promedio
2002-07-01,3.54,tpm,%,%,tasa,promedio
2002-08-01,3.07,tpm,%,%,tasa,promedio
2002-09-01,3.0,tpm,%,%,tasa,promedio
2002-10-01,3.0,tpm,%,%,tasa,promedio
2002-11-01,3.0,tpm,%,%,tasa,promedio
2002-12-01,3.0,tpm,%,%,tasa,promedio
2003-01-01,2.82,tpm,%,%,tasa,promedio
2003-02-01,2.75,tpm,%,%,tasa,promedio
2003-03-01,2.75,tpm,%,%,tasa,promedio
2003-04-01,2.75,tpm,%,%,tasa,promedio
2003-05-01,2.75,tpm,%,%,tasa,promedio
2003-06-01,2.75,tpm,%,%,tasa,promedio
2003-07-01,2.75,tpm,%,%,tasa,promedio
2003-08-01,2.75,tpm,%,%,tasa,promedio
2003-09-01,2.75,tpm,%,%,tasa,promedio
2003-10-01,2.75,tpm,%,%,tasa,promedio
2003-11-01,2.75,tpm,%,%,tasa,promedio
2003-12-01,2.45,tpm,%,%,tasa,promedio
2004-01-01,1.87,tpm,%,%,tasa,promedio
2004-02-01,1.75,tpm,%,%,tasa,promedio
2004-03-01,1.75,tpm,%,%,tasa,promedio
2004-04-01,1.75,tpm,%,%,tasa,promedio
2004-05-01,1.75,tpm,%,%,tasa,promedio
2004-06-01,1.75,tpm,%,%,tasa,promedio
2004-07-01,1.75,tpm,%,%,tasa,promedio
2004-08-01,1.75,tpm,%,%,tasa,promedio
2004-09-01,1.94,tpm,%,%,tasa,promedio
2004-10-01,2.0,tpm,%,%,tasa,promedio
2004-11-01,2.15,tpm,%,%,tasa,promedio
2004-12-01,2.25,tpm,%,%,tasa,promedio
2005-01-01,2.42,tpm,%,%,tasa,promedio
2005-02-01,2.65,tpm,%,%,tasa,promedio
2005-03-01,2.75,tpm,%,%,tasa,promedio
2005-04-01,2.94,tpm,%,%,tasa,promedio
2005-05-01,3.14,tpm,%,%,tasa,promedio
2005-06-01,3.25,tpm,%,%,tasa,promedio
2005-07-01,3.4,tpm,%,%,tasa,promedio
2005-08-01,3.65,tpm,%,%,tasa,promedio
2005-09-01,3.93,tpm,%,%,tasa,promedio
2005-10-01,4.18,tpm,%,%,tasa,promedio
2005-11-01,4.42,tpm,%,%,tasa,promedio
2005-12-01,4.5,tpm,%,%,tasa,promedio
2006-01-01,4.5,tpm,%,%,tasa,promedio
2006-02-01,4.66,tpm,%,%,tasa,promedio
2006-03-01,4.75,tpm,%,%,tasa,promedio
2006-04-01,4.88,tpm,%,%,tasa,promedio
2006-05-01,5.0,tpm,%,%,tasa,promedio
2006-06-01,5.0,tpm,%,%,tasa,promedio
2006-07-01,5.14,tpm,%,%,tasa,promedio
2006-08-01,5.25,tpm,%,%,tasa,promedio
2006-09-01,5.25,tpm,%,%,tasa,promedio
2006-10-01,5.25,tpm,%,%,tasa,promedio
2006-11-01,5.25,tpm,%,%,tasa,promedio
2006-12-01,5.25,tpm,%,%,tasa,promedio
2007-01-01,5.09,tpm,%,%,tasa,promedio
2007-02-01,5.0,tpm,%,%,tasa,promedio
2007-03-01,5.0,tpm,%,%,tasa,promedio
2007-04-01,5.0,tpm,%,%,tasa,promedio
2007-05-01,5.0,tpm,%,%,tasa,promedio
2007-06-01,5.0,tpm,%,%,tasa,promedio
2007-07-01,5.15,tpm,%,%,tasa,promedio
2007-08-01,5.42,tpm,%,%,tasa,promedio
2007-09-01,5.62,tpm,%,%,tasa,promedio
2007-10-01,5.75,tpm,%,%,tasa,promedio
2007-11-01,5.75,tpm,%,%,tasa,promedio
2007-12-01,5.88,tpm,%,%,tasa,promedio
2008-01-01,6.17,tpm,%,%,tasa,promedio
2008-02-01,6.25,tpm,%,%,tasa,promedio
2008-03-01,6.25,tpm,%,%,tasa,promedio
2008-04-01,6.25,tpm,%,%,tasa,promedio
2008-05-01,6.25,tpm,%,%,tasa,promedio
2008-06-01,6.58,tpm,%,%,tasa,promedio
2008-07-01,7.07,tpm,%,%,tasa,promedio
2008-08-01,7.5,tpm,%,%,tasa,promedio
2008-09-01,8.15,tpm,%,%,tasa,promedio
2008-10-01,8.25,tpm,%,%,tasa,promedio
2008-11-01,8.25,tpm,%,%,tasa,promedio
2008-12-01,8.25,tpm,%,%,tasa,promedio
2009-01-01,7.49,tpm,%,%,tasa,promedio
2009-02-01,5.88,tpm,%,%,tasa,promedio
2009-03-01,3.27,tpm,%,%,tasa,promedio
2009-04-01,1.92,tpm,%,%,tasa,promedio
2009-05-01,1.36,tpm,%,%,tasa,promedio
2009-06-01,1.04,tpm,%,%,tasa,promedio
2009-07-01,0.58,tpm,%,%,tasa,promedio
2009-08-01,0.5,tpm,%,%,tasa,promedio
2009-09-01,0.5,tpm,%,%,tasa,promedio
2009-10-01,0.5,tpm,%,%,tasa,promedio
2009-11-01,0.5,tpm,%,%,tasa,promedio
2009-12-01,0.5,tpm,%,%,tasa,promedio
2010-01-01,0.5,tpm,%,%,tasa,promedio
2010-02-01,0.5,tpm,%,%,tasa,promedio
2010-03-01,0.5,tpm,%,%,tasa,promedio
2010-04-01,0.5,tpm,%,%,tasa,promedio
2010-05-01,0.5,tpm,%,%,tasa,promedio
2010-06-01,0.74,tpm,%,%,tasa,promedio
2010-07-01,1.24,tpm,%,%,tasa,promedio
2010-08-01,1.8,tpm,%,%,tasa,promedio
2010-09-01,2.2,tpm,%,%,tasa,promedio
2010-10-01,2.64,tpm,%,%,tasa,promedio
2010-11-01,2.87,tpm,%,%,tasa,promedio
2010-12-01,3.12,tpm,%,%,tasa,promedio
2011-01-01,3.25,tpm,%,%,tasa,promedio
2011-02-01,3.34,tpm,%,%,tasa,promedio
2011-03-01,3.72,tpm,%,%,tasa,promedio
2011-04-01,4.3,tpm,%,%,tasa,promedio
2011-05-01,4.8,tpm,%,%,tasa,promedio
2011-06-01,5.13,tpm,%,%,tasa,promedio
2011-07-01,5.25,tpm,%,%,tasa,promedio
2011-08-01,5.25,tpm,%,%,tasa,promedio
2011-09-01,5.25,tpm,%,%,tasa,promedio
2011-10-01,5.25,tpm,%,%,tasa,promedio
2011-11-01,5.25,tpm,%,%,tasa,promedio
2011-12-01,5.25,tpm,%,%,tasa,promedio
2012-01-01,5.1,tpm,%,%,tasa,promedio
2012-02-01,5.0,tpm,%,%,tasa,promedio
2012-03-01,5.0,tpm,%,%,tasa,promedio
2012-04-01,5.0,tpm,%,%,tasa,promedio
2012-05-01,5.0,tpm,%,%,tasa,promedio
2012-06-01,5.0,tpm,%,%,tasa,promedio
2012-07-01,5.0,tpm,%,%,tasa,promedio
2012-08-01,5.0,tpm,%,%,tasa,promedio
2012-09-01,5.0,tpm,%,%,tasa,promedio
2012-10-01,5.0,tpm,%,%,tasa,promedio
2012-11-01,5.0,tpm,%,%,tasa,promedio
2012-12-01,5.0,tpm,%,%,tasa,promedio
2013-01-01,5.0,tpm,%,%,tasa,promedio
2013-02-01,5.0,tpm,%,%,tasa,promedio
2013-03-01,5.0,tpm,%,%,tasa,promedio
2013-04-01,5.0,tpm,%,%,tasa,promedio
2013-05-01,5.0,tpm,%,%,tasa,promedio
2013-06-01,5.0,tpm,%,%,tasa,promedio
2013-07-01,5.0,tpm,%,%,tasa,promedio
2013-08-01,5.0,tpm,%,%,tasa,promedio
2013-09-01,5.0,tpm,%,%,tasa,promedio
2013-10-01,4.9,tpm,%,%,tasa,promedio
2013-11-01,4.65,tpm,%,%,tasa,promedio
2013-12-01,4.5,tpm,%,%,tasa,promedio
2014-01-01,4.5,tpm,%,%,tasa,promedio
2014-02-01,4.4,tpm,%,%,tasa,promedio
2014-03-01,4.11,tpm,%,%,tasa,promedio
2014-04-01,4.0,tpm,%,%,tasa,promedio
2014-05-01,4.0,tpm,%,%,tasa,promedio
2014-06-01,4.0,tpm,%,%,tasa,promedio
2014-07-01,3.88,tpm,%,%,tasa,promedio
2014-08-01,3.63,tpm,%,%,tasa,promedio
2014-09-01,3.36,tpm,%,%,tasa,promedio
2014-10-01,3.14,tpm,%,%,tasa,promedio
2014-11-01,3.0,tpm,%,%,tasa,promedio
2014-12-01,3.0,tpm,%,%,tasa,promedio
2015-01-01,3.0,tpm,%,%,tasa,promedio
2015-02-01,3.0,tpm,%,%,tasa,promedio
2015-03-01,3.0,tpm,%,%,tasa,promedio
2015-04-01,3.0,tpm,%,%,tasa,promedio
2015-05-01,3.0,tpm,%,%,tasa,promedio
2015-06-01,3.0,tpm,%,%,tasa,promedio
2015-07-01,3.0,tpm,%,%,tasa,promedio
2015-08-01,3.0,tpm,%,%,tasa,promedio
2015-09-01,3.0,tpm,%,%,tasa,promedio
2015-10-01,3.13,tpm,%,%,tasa,promedio
2015-11-01,3.25,tpm,%,%,tasa,promedio
2015-12-01,3.35,tpm,%,%,tasa,promedio
2016-01-01,3.5,tpm,%,%,tasa,promedio
2016-02-01,3.5,tpm,%,%,tasa,promedio
2016-03-01,3.5,tpm,%,%,tasa,promedio
2016-04-01,3.5,tpm,%,%,tasa,promedio
2016-05-01,3.5,tpm,%,%,tasa,promedio
2016-06-01,3.5,tpm,%,%,tasa,promedio
2016-07-01,3.5,tpm,%,%,tasa,promedio
2016-08-01,3.5,tpm,%,%,tasa,promedio
2016-09-01,3.5,tpm,%,%,tasa,promedio
2016-10-01,3.5,tpm,%,%,tasa,promedio
2016-11-01,3.5,tpm,%,%,tasa,promedio
2016-12-01,3.5,tpm,%,%,tasa,promedio
2017-01-01,3.5,tpm,%,%,tasa,promedio
2017-02-01,3.25,tpm,%,%,tasa,promedio
2017-03-01,3.13,tpm,%,%,tasa,promedio
2017-04-01,2.88,tpm,%,%,tasa,promedio
2017-05-01,2.65,tpm,%,%,tasa,promedio
2017-06-01,2.5,tpm,%,%,tasa,promedio
2017-07-01,2.5,tpm,%,%,tasa,promedio
2017-08-01,2.5,tpm,%,%,tasa,promedio
2017-09-01,2.5,tpm,%,%,tasa,promedio
2017-10-01,2.5,tpm,%,%,tasa,promedio
2017-11-01,2.5,tpm,%,%,tasa,promedio
2017-12-01,2.5,tpm,%,%,tasa,promedio
2018-01-01,2.5,tpm,%,%,tasa,promedio
2018-02-01,2.5,tpm,%,%,tasa,promedio
2018-03-01,2.5,tpm,%,%,tasa,promedio
2018-04-01,2.5,tpm,%,%,tasa,promedio
2018-05-01,2.5,tpm,%,%,tasa,promedio
2018-06-01,2.5,tpm,%,%,tasa,promedio
2018-07-01,2.5,tpm,%,%,tasa,promedio
2018-08-01,2.5,tpm,%,%,tasa,promedio
2018-09-01,2.5,tpm,%,%,tasa,promedio
2018-10-01,2.6,tpm,%,%,tasa,promedio
2018-11-01,2.75,tpm,%,%,tasa,promedio
2018-12-01,2.75,tpm,%,%,tasa,promedio
2019-01-01,2.76,tpm,%,%,tasa,promedio
2019-02-01,3.0,tpm,%,%,tasa,promedio
2019-03-01,3.0,tpm,%,%,tasa,promedio
2019-04-01,3.0,tpm,%,%,tasa,promedio
2019-05-01,3.0,tpm,%,%,tasa,promedio
2019-06-01,2.63,tpm,%,%,tasa,promedio
2019-07-01,2.5,tpm,%,%,tasa,promedio
2019-08-01,2.5,tpm,%,%,tasa,promedio
2019-09-01,2.06,tpm,%,%,tasa,promedio
2019-10-01,1.94,tpm,%,%,tasa,promedio
2019-11-01,1.75,tpm,%,%,tasa,promedio
2019-12-01,1.75,tpm,%,%,tasa,promedio
2020-01-01,1.75,tpm,%,%,tasa,promedio
2020-02-01,1.75,tpm,%,%,tasa,promedio
2020-03-01,1.38,tpm,%,%,tasa,promedio
2020-04-01,0.5,tpm,%,%,tasa,promedio
2020-05-01,0.5,tpm,%,%,tasa,promedio
2020-06-01,0.5,tpm,%,%,tasa,promedio
2020-07-01,0.5,tpm,%,%,tasa,promedio
2020-08-01,0.5,tpm,%,%,tasa,promedio
2020-09-01,0.5,tpm,%,%,tasa,promedio
2020-10-01,0.5,tpm,%,%,tasa,promedio
2020-11-01,0.5,tpm,%,%,tasa,promedio
2020-12-01,0.5,tpm,%,%,tasa,promedio
2021-01-01,0.5,tpm,%,%,tasa,promedio
2021-02-01,0.5,tpm,%,%,tasa,promedio
2021-03-01,0.5,tpm,%,%,tasa,promedio
2021-04-01,0.5,tpm,%,%,tasa,promedio
2021-05-01,0.5,tpm,%,%,tasa,promedio
2021-06-01,0.5,tpm,%,%,tasa,promedio
2021-07-01,0.63,tpm,%,%,tasa,promedio
2021-08-01,0.75,tpm,%,%,tasa,promedio
2021-09-01,1.5,tpm,%,%,tasa,promedio
2021-10-01,2.25,tpm,%,%,tasa,promedio
2021-11-01,2.75,tpm,%,%,tasa,promedio
2021-12-01,3.46,tpm,%,%,tasa,promedio
2022-01-01,4.21,tpm,%,%,tasa,promedio
2022-02-01,5.5,tpm,%,%,tasa,promedio
2022-03-01,5.63,tpm,%,%,tasa,promedio
2022-04-01,7.0,tpm,%,%,tasa,promedio
2022-05-01,8.02,tpm,%,%,tasa,promedio
2022-06-01,8.81,tpm,%,%,tasa,promedio
2022-07-01,9.43,tpm,%,%,tasa,promedio
2022-08-01,9.75,tpm,%,%,tasa,promedio
2022-09-01,10.55,tpm,%,%,tasa,promedio
2022-10-01,11.07,tpm,%,%,tasa,promedio
2022-11-01,11.25,tpm,%,%,tasa,promedio
2022-12-01,11.25,tpm,%,%,tasa,promedio
2023-01-01,11.25,tpm,%,%,tasa,promedio
2023-02-01,11.25,tpm,%,%,tasa,promedio
2023-03-01,11.25,tpm,%,%,tasa,promedio
2023-04-01,11.25,tpm,%,%,tasa,promedio
2023-05-01,11.25,tpm,%,%,tasa,promedio
2023-06-01,11.25,tpm,%,%,tasa,promedio
2023-07-01,11.2,tpm,%,%,tasa,promedio
2023-08-01,10.25,tpm,%,%,tasa,promedio
2023-09-01,9.62,tpm,%,%,tasa,promedio
2023-10-01,9.45,tpm,%,%,tasa,promedio
2023-11-01,9.0,tpm,%,%,tasa,promedio
2023-12-01,8.72,tpm,%,%,tasa,promedio
2024-01-01,8.25,tpm,%,%,tasa,promedio
2024-02-01,7.25,tpm,%,%,tasa,promedio
2024-03-01,7.25,tpm,%,%,tasa,promedio
2024-04-01,6.57,tpm,%,%,tasa,promedio
2024-05-01,6.36,tpm,%,%,tasa,promedio
2024-06-01,5.91,tpm,%,%,tasa,promedio
2024-07-01,5.75,tpm,%,%,tasa,promedio
2024-08-01,5.75,tpm,%,%,tasa,promedio
2024-09-01,5.53,tpm,%,%,tasa,promedio
2024-10-01,5.4,tpm,%,%,tasa,promedio
2024-11-01,5.25,tpm,%,%,tasa,promedio
2024-12-01,5.15,tpm,%,%,tasa,promedio
2025-01-01,5.0,tpm,%,%,tasa,promedio
2025-02-01,5.0,tpm,%,%,tasa,promedio
2025-03-01,5.0,tpm,%,%,tasa,promedio
2025-04-01,5.0,tpm,%,%,tasa,promedio
2025-05-01,5.0,tpm,%,%,tasa,promedio
2025-06-01,5.0,tpm,%,%,tasa,promedio
2025-07-01,4.98,tpm,%,%,tasa,promedio
2025-08-01,4.75,tpm,%,%,tasa,promedio
2025-09-01,4.75,tpm,%,%,tasa,promedio
2025-10-01,4.75,tpm,%,%,tasa,promedio
2025-11-01,4.75,tpm,%,%,tasa,promedio
2025-12-01,4.64,tpm,%,%,tasa,promedio
2026-01-01,4.5,tpm,%,%,tasa,promedio
2026-02-01,4.5,tpm,%,%,tasa,promedio
2026-03-01,4.5,tpm,%,%,tasa,promedio
2026-04-01,4.5,tpm,%,%,tasa,promedio
2026-05-01,4.5,tpm,%,%,tasa,promedio
2026-06-01,4.5,tpm,%,%,tasa,promedio
2026-07-01,4.5,tpm,%,%,tasa,promedio
2002-01-01,7.51,tasa_hipotecaria,%,%,tasa,promedio
2002-02-01,7.5,tasa_hipotecaria,%,%,tasa,promedio
2002-03-01,7.28,tasa_hipotecaria,%,%,tasa,promedio
2002-04-01,7.18,tasa_hipotecaria,%,%,tasa,promedio
2002-05-01,6.63,tasa_hipotecaria,%,%,tasa,promedio
2002-06-01,6.72,tasa_hipotecaria,%,%,tasa,promedio
2002-07-01,6.72,tasa_hipotecaria,%,%,tasa,promedio
2002-08-01,6.53,tasa_hipotecaria,%,%,tasa,promedio
2002-09-01,6.17,tasa_hipotecaria,%,%,tasa,promedio
2002-10-01,5.63,tasa_hipotecaria,%,%,tasa,promedio
2002-11-01,5.05,tasa_hipotecaria,%,%,tasa,promedio
2002-12-01,4.99,tasa_hipotecaria,%,%,tasa,promedio
2003-01-01,5.6,tasa_hipotecaria,%,%,tasa,promedio
2003-02-01,5.84,tasa_hipotecaria,%,%,tasa,promedio
2003-03-01,5.64,tasa_hipotecaria,%,%,tasa,promedio
2003-04-01,4.74,tasa_hipotecaria,%,%,tasa,promedio
2003-05-01,5.37,tasa_hipotecaria,%,%,tasa,promedio
2003-06-01,5.24,tasa_hipotecaria,%,%,tasa,promedio
2003-07-01,5.2,tasa_hipotecaria,%,%,tasa,promedio
2003-08-01,4.91,tasa_hipotecaria,%,%,tasa,promedio
2003-09-01,4.51,tasa_hipotecaria,%,%,tasa,promedio
2003-10-01,4.63,tasa_hipotecaria,%,%,tasa,promedio
2003-11-01,4.77,tasa_hipotecaria,%,%,tasa,promedio
2003-12-01,4.87,tasa_hipotecaria,%,%,tasa,promedio
2004-01-01,4.99,tasa_hipotecaria,%,%,tasa,promedio
2004-02-01,4.88,tasa_hipotecaria,%,%,tasa,promedio
2004-03-01,4.82,tasa_hipotecaria,%,%,tasa,promedio
2004-04-01,3.99,tasa_hipotecaria,%,%,tasa,promedio
2004-05-01,3.24,tasa_hipotecaria,%,%,tasa,promedio
2004-06-01,3.26,tasa_hipotecaria,%,%,tasa,promedio
2004-07-01,3.33,tasa_hipotecaria,%,%,tasa,promedio
2004-08-01,3.47,tasa_hipotecaria,%,%,tasa,promedio
2004-09-01,3.58,tasa_hipotecaria,%,%,tasa,promedio
2004-10-01,3.54,tasa_hipotecaria,%,%,tasa,promedio
2004-11-01,3.61,tasa_hipotecaria,%,%,tasa,promedio
2004-12-01,3.94,tasa_hipotecaria,%,%,tasa,promedio
2005-01-01,4.04,tasa_hipotecaria,%,%,tasa,promedio
2005-02-01,4.28,tasa_hipotecaria,%,%,tasa,promedio
2005-03-01,4.3,tasa_hipotecaria,%,%,tasa,promedio
2005-04-01,4.35,tasa_hipotecaria,%,%,tasa,promedio
2005-05-01,4.43,tasa_hipotecaria,%,%,tasa,promedio
2005-06-01,4.44,tasa_hipotecaria,%,%,tasa,promedio
2005-07-01,4.38,tasa_hipotecaria,%,%,tasa,promedio
2005-08-01,4.36,tasa_hipotecaria,%,%,tasa,promedio
2005-09-01,4.25,tasa_hipotecaria,%,%,tasa,promedio
2005-10-01,4.27,tasa_hipotecaria,%,%,tasa,promedio
2005-11-01,4.63,tasa_hipotecaria,%,%,tasa,promedio
2005-12-01,5.02,tasa_hipotecaria,%,%,tasa,promedio
2006-01-01,5.31,tasa_hipotecaria,%,%,tasa,promedio
2006-02-01,5.33,tasa_hipotecaria,%,%,tasa,promedio
2006-03-01,5.22,tasa_hipotecaria,%,%,tasa,promedio
2006-04-01,5.04,tasa_hipotecaria,%,%,tasa,promedio
2006-05-01,5.03,tasa_hipotecaria,%,%,tasa,promedio
2006-06-01,5.0,tasa_hipotecaria,%,%,tasa,promedio
2006-07-01,5.1,tasa_hipotecaria,%,%,tasa,promedio
2006-08-01,5.05,tasa_hipotecaria,%,%,tasa,promedio
2006-09-01,5.01,tasa_hipotecaria,%,%,tasa,promedio
2006-10-01,4.95,tasa_hipotecaria,%,%,tasa,promedio
2006-11-01,4.82,tasa_hipotecaria,%,%,tasa,promedio
2006-12-01,4.77,tasa_hipotecaria,%,%,tasa,promedio
2007-01-01,4.68,tasa_hipotecaria,%,%,tasa,promedio
2007-02-01,4.58,tasa_hipotecaria,%,%,tasa,promedio
2007-03-01,4.56,tasa_hipotecaria,%,%,tasa,promedio
2007-04-01,4.54,tasa_hipotecaria,%,%,tasa,promedio
2007-05-01,4.39,tasa_hipotecaria,%,%,tasa,promedio
2007-06-01,4.42,tasa_hipotecaria,%,%,tasa,promedio
2007-07-01,4.51,tasa_hipotecaria,%,%,tasa,promedio
2007-08-01,4.69,tasa_hipotecaria,%,%,tasa,promedio
2007-09-01,4.79,tasa_hipotecaria,%,%,tasa,promedio
2007-10-01,4.83,tasa_hipotecaria,%,%,tasa,promedio
2007-11-01,4.81,tasa_hipotecaria,%,%,tasa,promedio
2007-12-01,4.83,tasa_hipotecaria,%,%,tasa,promedio
2008-01-01,4.8,tasa_hipotecaria,%,%,tasa,promedio
2008-02-01,4.9,tasa_hipotecaria,%,%,tasa,promedio
2008-03-01,4.82,tasa_hipotecaria,%,%,tasa,promedio
2008-04-01,4.76,tasa_hipotecaria,%,%,tasa,promedio
2008-05-01,4.63,tasa_hipotecaria,%,%,tasa,promedio
2008-06-01,4.72,tasa_hipotecaria,%,%,tasa,promedio
2008-07-01,4.87,tasa_hipotecaria,%,%,tasa,promedio
2008-08-01,4.82,tasa_hipotecaria,%,%,tasa,promedio
2008-09-01,4.8,tasa_hipotecaria,%,%,tasa,promedio
2008-10-01,5.34,tasa_hipotecaria,%,%,tasa,promedio
2008-11-01,5.69,tasa_hipotecaria,%,%,tasa,promedio
2008-12-01,5.77,tasa_hipotecaria,%,%,tasa,promedio
2009-01-01,5.92,tasa_hipotecaria,%,%,tasa,promedio
2009-02-01,5.53,tasa_hipotecaria,%,%,tasa,promedio
2009-03-01,4.9,tasa_hipotecaria,%,%,tasa,promedio
2009-04-01,4.42,tasa_hipotecaria,%,%,tasa,promedio
2009-05-01,4.45564536914898,tasa_hipotecaria,%,%,tasa,promedio
2009-06-01,4.61,tasa_hipotecaria,%,%,tasa,promedio
2009-07-01,4.62,tasa_hipotecaria,%,%,tasa,promedio
2009-08-01,4.56,tasa_hipotecaria,%,%,tasa,promedio
2009-09-01,4.49,tasa_hipotecaria,%,%,tasa,promedio
2009-10-01,4.35,tasa_hipotecaria,%,%,tasa,promedio
2009-11-01,4.28,tasa_hipotecaria,%,%,tasa,promedio
2009-12-01,4.541432542088,tasa_hipotecaria,%,%,tasa,promedio
2010-01-01,4.58383099847222,tasa_hipotecaria,%,%,tasa,promedio
2010-02-01,4.6029839655247,tasa_hipotecaria,%,%,tasa,promedio
2010-03-01,4.27558551498422,tasa_hipotecaria,%,%,tasa,promedio
2010-04-01,4.12752778433854,tasa_hipotecaria,%,%,tasa,promedio
2010-05-01,4.18098759676288,tasa_hipotecaria,%,%,tasa,promedio
2010-06-01,4.06480421558505,tasa_hipotecaria,%,%,tasa,promedio
2010-07-01,4.02587670770349,tasa_hipotecaria,%,%,tasa,promedio
2010-08-01,4.06472734201753,tasa_hipotecaria,%,%,tasa,promedio
2010-09-01,4.00027918689188,tasa_hipotecaria,%,%,tasa,promedio
2010-10-01,4.14044238276809,tasa_hipotecaria,%,%,tasa,promedio
2010-11-01,4.35028026082293,tasa_hipotecaria,%,%,tasa,promedio
2010-12-01,4.37113062194567,tasa_hipotecaria,%,%,tasa,promedio
2011-01-01,4.33731072065549,tasa_hipotecaria,%,%,tasa,promedio
