date,region_code,region_name,indicador,unidad,valor,unidad_original,dimension,agregacion
2018-01-01,01,Tarapacá,compra_interregional,pesos,116251931931.77,miles de millones de pesos,dinero,total
2018-01-01,01,Tarapacá,compra_intrarregional,pesos,75606198024.5,miles de millones de pesos,dinero,total
2018-01-01,01,Tarapacá,facturas_compra_interregional,unidades,174682.0,miles de unidades,conteo,total
2018-01-01,01,Tarapacá,facturas_venta_interregional,unidades,64684.0,miles de unidades,conteo,total
2018-01-01,01,Tarapacá,venta_interregional,pesos,56251562088.166,miles de millones de pesos,dinero,total
2018-01-01,01,Tarapacá,venta_intrarregional,pesos,75606198024.5,miles de millones de pesos,dinero,total
2018-01-01,02,Antofagasta,compra_interregional,pesos,354125928678.87994,miles de millones de pesos,dinero,total
2018-01-01,02,Antofagasta,compra_intrarregional,pesos,207431824028.0,miles de millones de pesos,dinero,total
2018-01-01,02,Antofagasta,facturas_compra_interregional,unidades,390187.0,miles de unidades,conteo,total
2018-01-01,02,Antofagasta,facturas_venta_interregional,unidades,179975.0,miles de unidades,conteo,total
2018-01-01,02,Antofagasta,venta_interregional,pesos,234845973706.33,miles de millones de pesos,dinero,total
2018-01-01,02,Antofagasta,venta_intrarregional,pesos,207431824028.0,miles de millones de pesos,dinero,total
2018-01-01,03,Atacama,compra_interregional,pesos,109958467363.33,miles de millones de pesos,dinero,total
2018-01-01,03,Atacama,compra_intrarregional,pesos,59546473966.5,miles de millones de pesos,dinero,total
2018-01-01,03,Atacama,facturas_compra_interregional,unidades,210915.0,miles de unidades,conteo,total
2018-01-01,03,Atacama,facturas_venta_interregional,unidades,66248.0,miles de unidades,conteo,total
2018-01-01,03,Atacama,venta_interregional,pesos,76543242202.447,miles de millones de pesos,dinero,total
2018-01-01,03,Atacama,venta_intrarregional,pesos,59546473966.5,miles de millones de pesos,dinero,total
2018-01-01,04,Coquimbo,compra_interregional,pesos,203678665009.89,miles de millones de pesos,dinero,total
2018-01-01,04,Coquimbo,compra_intrarregional,pesos,131810846504.75,miles de millones de pesos,dinero,total
2018-01-01,04,Coquimbo,facturas_compra_interregional,unidades,457488.0,miles de unidades,conteo,total
2018-01-01,04,Coquimbo,facturas_venta_interregional,unidades,164159.0,miles de unidades,conteo,total
2018-01-01,04,Coquimbo,venta_interregional,pesos,126446199261.5,miles de millones de pesos,dinero,total
2018-01-01,04,Coquimbo,venta_intrarregional,pesos,131810846504.75,miles de millones de pesos,dinero,total
2018-01-01,05,Valparaíso,compra_interregional,pesos,544568725690.01996,miles de millones de pesos,dinero,total
2018-01-01,05,Valparaíso,compra_intrarregional,pesos,411939311437.21,miles de millones de pesos,dinero,total
2018-01-01,05,Valparaíso,facturas_compra_interregional,unidades,1172119.0,miles de unidades,conteo,total
2018-01-01,05,Valparaíso,facturas_venta_interregional,unidades,560701.0,miles de unidades,conteo,total
2018-01-01,05,Valparaíso,venta_interregional,pesos,980163452046.5,miles de millones de pesos,dinero,total
