date,region_id,region_display,mnemonico,indicador,medida,unidad,valor,promedio_12m,unidad_original,dimension,agregacion
2009-01-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30363.0,,número de cuentas de personas naturales,conteo,total
2009-02-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30380.0,,número de cuentas de personas naturales,conteo,total
2009-03-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30365.0,,número de cuentas de personas naturales,conteo,total
2009-04-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30490.0,,número de cuentas de personas naturales,conteo,total
2009-05-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30566.0,,número de cuentas de personas naturales,conteo,total
2009-06-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30556.0,,número de cuentas de personas naturales,conteo,total
2009-07-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30777.0,,número de cuentas de personas naturales,conteo,total
2009-08-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,30960.0,,número de cuentas de personas naturales,conteo,total
2009-09-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,31027.0,,número de cuentas de personas naturales,conteo,total
2009-10-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,31227.0,,número de cuentas de personas naturales,conteo,total
2009-11-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,31503.0,,número de cuentas de personas naturales,conteo,total
2009-12-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,31688.0,30825.166666666668,número de cuentas de personas naturales,conteo,total
2010-01-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,31817.0,30946.333333333332,número de cuentas de personas naturales,conteo,total
2010-02-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,31961.0,31078.083333333332,número de cuentas de personas naturales,conteo,total
2010-03-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,32191.0,31230.25,número de cuentas de personas naturales,conteo,total
2010-04-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,32380.0,31387.75,número de cuentas de personas naturales,conteo,total
2010-05-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,32543.0,31552.5,número de cuentas de personas naturales,conteo,total
2010-06-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,32826.0,31741.666666666668,número de cuentas de personas naturales,conteo,total
2010-07-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,33027.0,31929.166666666668,número de cuentas de personas naturales,conteo,total
2010-08-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,33305.0,32124.583333333332,número de cuentas de personas naturales,conteo,total
2010-09-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,33546.0,32334.5,número de cuentas de personas naturales,conteo,total
2010-10-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,33864.0,32554.25,número de cuentas de personas naturales,conteo,total
2010-11-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,34152.0,32775.0,número de cuentas de personas naturales,conteo,total
2010-12-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,34353.0,32997.083333333336,número de cuentas de personas naturales,conteo,total
2011-01-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,34630.0,33231.5,número de cuentas de personas naturales,conteo,total
2011-02-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,34798.0,33467.916666666664,número de cuentas de personas naturales,conteo,total
2011-03-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,35175.0,33716.583333333336,número de cuentas de personas naturales,conteo,total
2011-04-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,35622.0,33986.75,número de cuentas de personas naturales,conteo,total
2011-05-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,35943.0,34270.083333333336,número de cuentas de personas naturales,conteo,total
2011-06-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,36212.0,34552.25,número de cuentas de personas naturales,conteo,total
2011-07-01,01,Tarapacá,CCPN,cuentas_corrientes,stock,unidades,36282.0,34823.5,número de cuentas de personas naturales,conteo,total
