series_code,series_name,region_id,region_name,zone,is_zone_subset,frequency,chapter,table_name,sector_id,sector_name,region_parse_method
F034.MCC.FLU.BCCH.Z.NAC.A,Nivel nacional,,,Nacional,False,A,Estadísticas Experimentales,Metros Cuadrados Construidos: General y Zonas (millones de metros cuadrados),,,zone
F034.MCT.FLU.BCCH.Z.NAC.A,Nivel nacional,,,Nacional,False,A,Estadísticas Experimentales,Metros Cuadrados de Terreno: General y Zonas (millones de metros cuadrados),,,zone
F034.NUMP.FLU.BCCH.Z.NAC.A,Nivel nacional,,,Nacional,False,A,Estadísticas Experimentales,Número de Propiedades: General y Zonas,,,zone
F034.VALC.FLU.BCCH.Z.NAC.A,Nivel nacional,,,Nacional,False,A,Estadísticas Experimentales,Valorización de Mercado Construcción: General y Zonas(miles de millones de pesos),,,zone
F034.VALT.FLU.BCCH.Z.NAC.A,Nivel nacional,,,Nacional,False,A,Estadísticas Experimentales,Valorización de Mercado Terreno: General y Zonas (miles de millones de pesos),,,zone
F034.VALV.FLU.BCCH.Z.NAC.A,Nivel nacional,,,Nacional,False,A,Estadísticas Experimentales,Valor de mercado de la vivienda: General y por zonas (miles de millones de pesos),,,zone
F034.VALV.PPB.BCCH.Z.NAC.A,Nivel nacional,,,Nacional,False,A,Estadísticas Experimentales,Valor de mercado de la vivienda: General y por zonas (% del PIB),,,zone
F034.MCC.FLU.BCCH.Z.CAS.A,Casas,,,Nacional -- casas,True,A,Estadísticas Experimentales,Metros Cuadrados Construidos: General y Zonas (millones de metros cuadrados),,,zone
F034.MCT.FLU.BCCH.Z.CAS.A,Casas,,,Nacional -- casas,True,A,Estadísticas Experimentales,Metros Cuadrados de Terreno: General y Zonas (millones de metros cuadrados),,,zone
F034.NUMP.FLU.BCCH.Z.CAS.A,Casas,,,Nacional -- casas,True,A,Estadísticas Experimentales,Número de Propiedades: General y Zonas,,,zone
F034.VALC.FLU.BCCH.Z.CAS.A,Casas,,,Nacional -- casas,True,A,Estadísticas Experimentales,Valorización de Mercado Construcción: General y Zonas(miles de millones de pesos),,,zone
F034.VALT.FLU.BCCH.Z.CAS.A,Casas,,,Nacional -- casas,True,A,Estadísticas Experimentales,Valorización de Mercado Terreno: General y Zonas (miles de millones de pesos),,,zone
F034.VALV.FLU.BCCH.Z.CAS.A,Casas,,,Nacional -- casas,True,A,Estadísticas Experimentales,Valor de mercado de la vivienda: General y por zonas (miles de millones de pesos),,,zone
F034.VALV.PPB.BCCH.Z.CAS.A,Casas,,,Nacional -- casas,True,A,Estadísticas Experimentales,Valor de mercado de la vivienda: General y por zonas (% del PIB),,,zone
F034.MCC.FLU.BCCH.Z.DEP.A,Departamentos,,,Nacional -- departamentos,True,A,Estadísticas Experimentales,Metros Cuadrados Construidos: General y Zonas (millones de metros cuadrados),,,zone
F034.MCT.FLU.BCCH.Z.DEP.A,Departamentos,,,Nacional -- departamentos,True,A,Estadísticas Experimentales,Metros Cuadrados de Terreno: General y Zonas (millones de metros cuadrados),,,zone
