series_code,series_name,region_id,region_name,frequency,chapter,table_name,sector_id,sector_name,region_parse_method
F022.CCPNTA.STO.Z.Z.Z.M,Número de cuentas corrientes de personas naturales en moneda nacional,01,Tarapacá,M,Regionales,"Tenencia y saldos en cuentas corrientes y vista, Región de Tarapacá",,,glued_mnemonic
F022.DCM90TA.TAS.Z.Z.Z.M,Deuda comercial con mora de 90 días o más,01,Tarapacá,M,Regionales,"Porcentaje de deuda por cartera, Región de Tarapacá",,,glued_mnemonic
F022.DCS90TA.TAS.Z.Z.Z.M,Deuda consumo con mora de 90 días o más,01,Tarapacá,M,Regionales,"Porcentaje de deuda por cartera, Región de Tarapacá",,,glued_mnemonic
F022.DV90TA.TAS.Z.Z.Z.M,Deuda vivienda con mora de 90 días o más,01,Tarapacá,M,Regionales,"Porcentaje de deuda por cartera, Región de Tarapacá",,,glued_mnemonic
F022.SCCPNTA.STO.Z.Z.CLP.M,Saldo promedio de cuentas corrientes de personas naturales en moneda nacional (en pesos),01,Tarapacá,M,Regionales,"Tenencia y saldos en cuentas corrientes y vista, Región de Tarapacá",,,glued_mnemonic
F022.SDVTA.STO.Z.Z.CLP.M,Saldo de cuentas a la vista  (en millones de pesos),01,Tarapacá,M,Regionales,"Tenencia y saldos en cuentas corrientes y vista, Región de Tarapacá",,,glued_mnemonic
F022.CCPNAN.STO.Z.Z.Z.M,Número de cuentas corrientes de personas naturales en moneda nacional,02,Antofagasta,M,Regionales,"Tenencia y saldos en cuentas corrientes y vista, Región de Antofagasta",,,glued_mnemonic
F022.DCM90AN.TAS.Z.Z.Z.M,Deuda comercial con mora de 90 días o más,02,Antofagasta,M,Regionales,"Porcentaje de deuda por cartera, Región de Antofagasta",,,glued_mnemonic
F022.DCS90AN.TAS.Z.Z.Z.M,Deuda consumo con mora de 90 días o más,02,Antofagasta,M,Regionales,"Porcentaje de deuda por cartera, Región de Antofagasta",,,glued_mnemonic
F022.DV90AN.TAS.Z.Z.Z.M,Deuda vivienda con mora de 90 días o más,02,Antofagasta,M,Regionales,"Porcentaje de deuda por cartera, Región de Antofagasta",,,glued_mnemonic
F022.SCCPNAN.STO.Z.Z.CLP.M,Saldo promedio de cuentas corrientes de personas naturales en moneda nacional (en pesos),02,Antofagasta,M,Regionales,"Tenencia y saldos en cuentas corrientes y vista, Región de Antofagasta",,,glued_mnemonic
F022.SDVAN.STO.Z.Z.CLP.M,Saldo de cuentas a la vista (en millones de pesos),02,Antofagasta,M,Regionales,"Tenencia y saldos en cuentas corrientes y vista, Región de Antofagasta",,,glued_mnemonic
F022.CCPNAT.STO.Z.Z.Z.M,Número de cuentas corrientes de personas naturales en moneda nacional,03,Atacama,M,Regionales,"Tenencia y saldos en cuentas corrientes y vista, Región de Atacama",,,glued_mnemonic
F022.DCM90AT.TAS.Z.Z.Z.M,Deuda comercial con mora de 90 días o más,03,Atacama,M,Regionales,"Porcentaje de deuda por cartera, Región de Atacama",,,glued_mnemonic
F022.DCS90AT.TAS.Z.Z.Z.M,Deuda consumo con mora de 90 días o más,03,Atacama,M,Regionales,"Porcentaje de deuda por cartera, Región de Atacama",,,glued_mnemonic
F022.DV90AT.TAS.Z.Z.Z.M,Deuda vivienda con mora de 90 días o más,03,Atacama,M,Regionales,"Porcentaje de deuda por cartera, Región de Atacama",,,glued_mnemonic
