series_code,n_obs,date_min,date_max,frequency,region_id,error
F034.MCC.FLU.BCCH.Z.NAC.A,13,2012-01-01,2024-01-01,A,,
F034.MCT.FLU.BCCH.Z.NAC.A,13,2012-01-01,2024-01-01,A,,
F034.NUMP.FLU.BCCH.Z.NAC.A,13,2012-01-01,2024-01-01,A,,
F034.VALC.FLU.BCCH.Z.NAC.A,13,2012-01-01,2024-01-01,A,,
F034.VALT.FLU.BCCH.Z.NAC.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.FLU.BCCH.Z.NAC.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.PPB.BCCH.Z.NAC.A,13,2012-01-01,2024-01-01,A,,
F034.MCC.FLU.BCCH.Z.CAS.A,13,2012-01-01,2024-01-01,A,,
F034.MCT.FLU.BCCH.Z.CAS.A,13,2012-01-01,2024-01-01,A,,
F034.NUMP.FLU.BCCH.Z.CAS.A,13,2012-01-01,2024-01-01,A,,
F034.VALC.FLU.BCCH.Z.CAS.A,13,2012-01-01,2024-01-01,A,,
F034.VALT.FLU.BCCH.Z.CAS.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.FLU.BCCH.Z.CAS.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.PPB.BCCH.Z.CAS.A,13,2012-01-01,2024-01-01,A,,
F034.MCC.FLU.BCCH.Z.DEP.A,13,2012-01-01,2024-01-01,A,,
F034.MCT.FLU.BCCH.Z.DEP.A,13,2012-01-01,2024-01-01,A,,
F034.NUMP.FLU.BCCH.Z.DEP.A,13,2012-01-01,2024-01-01,A,,
F034.VALC.FLU.BCCH.Z.DEP.A,13,2012-01-01,2024-01-01,A,,
F034.VALT.FLU.BCCH.Z.DEP.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.FLU.BCCH.Z.DEP.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.PPB.BCCH.Z.DEP.A,13,2012-01-01,2024-01-01,A,,
F034.MCC.FLU.BCCH.Z.RM.A,13,2012-01-01,2024-01-01,A,,
F034.MCT.FLU.BCCH.Z.RM.A,13,2012-01-01,2024-01-01,A,,
F034.NUMP.FLU.BCCH.Z.RM.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.FLU.BCCH.Z.RM.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.PPB.BCCH.Z.RM.A,13,2012-01-01,2024-01-01,A,,
F034.MCC.FLU.BCCH.Z.ZC.A,13,2012-01-01,2024-01-01,A,,
F034.MCT.FLU.BCCH.Z.ZC.A,13,2012-01-01,2024-01-01,A,,
F034.NUMP.FLU.BCCH.Z.ZC.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.FLU.BCCH.Z.ZC.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.PPB.BCCH.Z.ZC.A,13,2012-01-01,2024-01-01,A,,
F034.MCC.FLU.BCCH.Z.ZN.A,13,2012-01-01,2024-01-01,A,,
F034.MCT.FLU.BCCH.Z.ZN.A,13,2012-01-01,2024-01-01,A,,
F034.NUMP.FLU.BCCH.Z.ZN.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.FLU.BCCH.Z.ZN.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.PPB.BCCH.Z.ZN.A,13,2012-01-01,2024-01-01,A,,
F034.MCC.FLU.BCCH.Z.ZS.A,13,2012-01-01,2024-01-01,A,,
F034.MCT.FLU.BCCH.Z.ZS.A,13,2012-01-01,2024-01-01,A,,
F034.NUMP.FLU.BCCH.Z.ZS.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.FLU.BCCH.Z.ZS.A,13,2012-01-01,2024-01-01,A,,
F034.VALV.PPB.BCCH.Z.ZS.A,13,2012-01-01,2024-01-01,A,,
F034.IPVZ41.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ41.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ41.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
F034.IPVZ41.INC.BCCH.2008.0.T,93,2003-01-01,2026-01-01,T,,
F034.IPVZ42.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ42.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ42.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
F034.IPVZ42.INC.BCCH.2008.0.T,93,2003-01-01,2026-01-01,T,,
F034.IPVZ42C.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ42C.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ42D.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ42D.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ43.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ43.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ43.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
F034.IPVZ43.INC.BCCH.2008.0.T,93,2003-01-01,2026-01-01,T,,
F034.IPVZ44.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ44.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ44.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
F034.IPVZ44.INC.BCCH.2008.0.T,93,2003-01-01,2026-01-01,T,,
F034.IPVZ4.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ4.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ4.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
F034.IPVZ4.INC.BCCH.2008.0.T,93,2003-01-01,2026-01-01,T,,
F034.IPVZ2.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ2.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ2.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
F034.IPVZ2.INC.BCCH.2008.0.T,93,2003-01-01,2026-01-01,T,,
F034.IVPZ1.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IVPZ1.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IVPZ1.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
F034.IVPZ1.INC.BCCH.2008.0.T,93,2003-01-01,2026-01-01,T,,
F034.IPVZ3.FLU.BCCH.2002.0.T,66,2002-01-01,2018-04-01,T,,
F034.IPVZ3.FLU.BCCH.2008.0.T,97,2002-01-01,2026-01-01,T,,
F034.IPVZ3.INC.BCCH.2002.0.T,62,2003-01-01,2018-04-01,T,,
