series_code,n_obs,date_min,date_max,frequency,region_id,error
F022.BCU.STO.Z.Z.UF.D,8751,2002-09-11,2026-08-26,D,,
F022.BCU.TIN.AN02.UF.Z.D,1309,2008-05-16,2011-12-15,D,,
F022.BCU.TIN.AN05.UF.Z.D,4019,2002-09-10,2013-09-10,D,,
F022.BCU.TIN.AN10.UF.Z.D,3998,2002-09-10,2013-08-20,D,,
F022.BCU.TIN.AN20.UF.Z.D,3370,2002-09-10,2011-12-01,D,,
F022.BCU.TIN.AN30.UF.Z.D,303,2011-02-16,2011-12-15,D,,
F022.BCU1.FLU.AN02.Z.UF.D,1309,2008-05-16,2011-12-15,D,,
F022.BCU1.FLU.AN05.Z.UF.D,4019,2002-09-10,2013-09-10,D,,
F022.BCU1.FLU.AN10.Z.UF.D,3998,2002-09-10,2013-08-20,D,,
F022.BCU1.FLU.AN20.Z.UF.D,3370,2002-09-10,2011-12-01,D,,
F022.BCU1.FLU.AN30.Z.UF.D,303,2011-02-16,2011-12-15,D,,
F022.BCU2.FLU.AN02.Z.UF.D,1309,2008-05-16,2011-12-15,D,,
F022.BCU2.FLU.AN05.Z.UF.D,4019,2002-09-10,2013-09-10,D,,
F022.BCU2.FLU.AN10.Z.UF.D,3998,2002-09-10,2013-08-20,D,,
F022.BCU2.FLU.AN20.Z.UF.D,3370,2002-09-10,2011-12-01,D,,
F022.BCU2.FLU.AN30.Z.UF.D,303,2011-02-16,2011-12-15,D,,
F022.BCU3.FLU.AN02.Z.UF.D,1309,2008-05-16,2011-12-15,D,,
F022.BCU3.FLU.AN05.Z.UF.D,4019,2002-09-10,2013-09-10,D,,
F022.BCU3.FLU.AN10.Z.UF.D,3998,2002-09-10,2013-08-20,D,,
F022.BCU3.FLU.AN20.Z.UF.D,3370,2002-09-10,2011-12-01,D,,
F022.BCU3.FLU.AN30.Z.UF.D,303,2011-02-16,2011-12-15,D,,
F022.BCU4.FLU.AN02.Z.UF.D,1309,2008-05-16,2011-12-15,D,,
F022.BCU4.FLU.AN05.Z.UF.D,4019,2002-09-10,2013-09-10,D,,
F022.BCU4.FLU.AN10.Z.UF.D,3998,2002-09-10,2013-08-20,D,,
F022.BCU4.FLU.AN20.Z.UF.D,3370,2002-09-10,2011-12-01,D,,
F022.BCU4.FLU.AN30.Z.UF.D,303,2011-02-16,2011-12-15,D,,
F022.BCU9.FLU.AN02.Z.UF.D,1309,2008-05-16,2011-12-15,D,,
F022.BCU9.FLU.AN05.Z.UF.D,4019,2002-09-10,2013-09-10,D,,
F022.BCU9.FLU.AN10.Z.UF.D,3998,2002-09-10,2013-08-20,D,,
F022.BCU9.FLU.AN20.Z.UF.D,3370,2002-09-10,2011-12-01,D,,
F022.BCU9.FLU.AN30.Z.UF.D,303,2011-02-16,2011-12-15,D,,
F022.VIV.TIP.MA03.UF.Z.D,8987,2002-01-07,2026-08-15,D,,
F019.TPM.TIN.10.M,555,1980-01-01,2026-03-01,M,,
F022.BCU.STO.Z.Z.UF.M,287,2002-09-01,2026-07-01,M,,
F022.BCU.TIN.AN02.UF.Z.M,44,2008-05-01,2011-12-01,M,,
F022.BCU.TIN.AN05.UF.Z.M,179,2002-09-01,2017-07-01,M,,
F022.BCU.TIN.AN10.UF.Z.M,179,2002-09-01,2017-07-01,M,,
F022.BCU.TIN.AN20.UF.Z.M,112,2002-09-01,2011-12-01,M,,
F022.TPM.TIN.D001.NO.Z.M,375,1995-05-01,2026-07-01,M,,
F022.VIV.FLU.MA03.UF.Z.M,151,2014-01-01,2026-07-01,M,,
F022.VIV.STO.TP.Z.P96.M,456,1986-01-01,2023-12-01,M,,
F022.VIV.STO.TP.Z.P96R23.M,487,1986-01-01,2026-07-01,M,,
F022.VIV.STO.Z.NO.CLP.M,306,2001-01-01,2026-06-01,M,,
F022.VIV.STO.Z.TC.CLP.M,306,2001-01-01,2026-06-01,M,,
F022.VIV.STO.Z.Z.CLP.M,306,2001-01-01,2026-06-01,M,,
F022.VIV.TIP.MA03.UF.Z.M,295,2002-01-01,2026-07-01,M,,
F022.VIVBI.STO.Z.BBCI.CLP.M,222,2008-01-01,2026-06-01,M,,
F022.VIVBI.STO.Z.BBIC.CLP.M,222,2008-01-01,2026-06-01,M,,
F022.VIVBI.STO.Z.BBR.CLP.M,167,2008-01-01,2021-11-01,M,,
F022.VIVBI.STO.Z.BBTG.CLP.M,138,2015-01-01,2026-06-01,M,,
F022.VIVBI.STO.Z.BBVA.CLP.M,128,2008-01-01,2018-08-01,M,,
F022.VIVBI.STO.Z.BCC.CLP.M,121,2016-06-01,2026-06-01,M,,
F022.VIVBI.STO.Z.BCHI.CLP.M,96,2018-07-01,2026-06-01,M,,
F022.VIVBI.STO.Z.BCON.CLP.M,222,2008-01-01,2026-06-01,M,,
F022.VIVBI.STO.Z.BCOR.CLP.M,99,2008-01-01,2016-03-01,M,,
F022.VIVBI.STO.Z.BDCH.CLP.M,222,2008-01-01,2026-06-01,M,,
F022.VIVBI.STO.Z.BDE.CLP.M,104,2008-01-01,2016-08-01,M,,
F022.VIVBI.STO.Z.BDNB.CLP.M,48,2009-01-01,2012-12-01,M,,
