series_code,series_name,region_id,region_name,frequency,chapter,table_name,sector_id,sector_name,region_parse_method
F022.BCU.STO.Z.Z.UF.D,BCU (miles de UF),,Nacional,D,Mercado de Capitales,"Stock de instrumentos de deuda del BCCh, total en circulación (diaria)",,,nacional
F022.BCU.TIN.AN02.UF.Z.D,Tasas de interés base 365 días (porcentaje),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU),  2 años (valores diarios)",,,nacional
F022.BCU.TIN.AN05.UF.Z.D,Tasas de interés base 365 días (porcentaje),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 5 años (valores diarios)",,,nacional
F022.BCU.TIN.AN10.UF.Z.D,Tasas de interés base 365 días (porcentaje),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 10 años (valores diarios)",,,nacional
F022.BCU.TIN.AN20.UF.Z.D,Tasas de interés base 365 días (porcentaje),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 20 años (valores diarios)",,,nacional
F022.BCU.TIN.AN30.UF.Z.D,Tasas de interés base 365 días (porcentaje),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU), 30 años (valores diarios)",,,nacional
F022.BCU1.FLU.AN02.Z.UF.D,Cupo (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU),  2 años (valores diarios)",,,nacional
F022.BCU1.FLU.AN05.Z.UF.D,Cupo (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 5 años (valores diarios)",,,nacional
F022.BCU1.FLU.AN10.Z.UF.D,Cupo (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 10 años (valores diarios)",,,nacional
F022.BCU1.FLU.AN20.Z.UF.D,Cupo (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 20 años (valores diarios)",,,nacional
F022.BCU1.FLU.AN30.Z.UF.D,Cupo (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU), 30 años (valores diarios)",,,nacional
F022.BCU2.FLU.AN02.Z.UF.D,Monto demandado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU),  2 años (valores diarios)",,,nacional
F022.BCU2.FLU.AN05.Z.UF.D,Monto demandado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 5 años (valores diarios)",,,nacional
F022.BCU2.FLU.AN10.Z.UF.D,Monto demandado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 10 años (valores diarios)",,,nacional
F022.BCU2.FLU.AN20.Z.UF.D,Monto demandado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 20 años (valores diarios)",,,nacional
F022.BCU2.FLU.AN30.Z.UF.D,Monto demandado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU), 30 años (valores diarios)",,,nacional
F022.BCU3.FLU.AN02.Z.UF.D,Total monto adjudicado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU),  2 años (valores diarios)",,,nacional
F022.BCU3.FLU.AN05.Z.UF.D,Total monto adjudicado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 5 años (valores diarios)",,,nacional
F022.BCU3.FLU.AN10.Z.UF.D,Total monto adjudicado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 10 años (valores diarios)",,,nacional
F022.BCU3.FLU.AN20.Z.UF.D,Total monto adjudicado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 20 años (valores diarios)",,,nacional
F022.BCU3.FLU.AN30.Z.UF.D,Total monto adjudicado (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU), 30 años (valores diarios)",,,nacional
F022.BCU4.FLU.AN02.Z.UF.D,Monto adjudicado bancos y sociedades financieras (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU),  2 años (valores diarios)",,,nacional
F022.BCU4.FLU.AN05.Z.UF.D,Monto adjudicado bancos y sociedades financieras (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 5 años (valores diarios)",,,nacional
F022.BCU4.FLU.AN10.Z.UF.D,Monto adjudicado bancos y sociedades financieras (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 10 años (valores diarios)",,,nacional
F022.BCU4.FLU.AN20.Z.UF.D,Monto adjudicado bancos y sociedades financieras (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 20 años (valores diarios)",,,nacional
F022.BCU4.FLU.AN30.Z.UF.D,Monto adjudicado bancos y sociedades financieras (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU), 30 años (valores diarios)",,,nacional
F022.BCU9.FLU.AN02.Z.UF.D,Monto adjudicado AFP y otros (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU),  2 años (valores diarios)",,,nacional
F022.BCU9.FLU.AN05.Z.UF.D,Monto adjudicado AFP y otros (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 5 años (valores diarios)",,,nacional
F022.BCU9.FLU.AN10.Z.UF.D,Monto adjudicado AFP y otros (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 10 años (valores diarios)",,,nacional
F022.BCU9.FLU.AN20.Z.UF.D,Monto adjudicado AFP y otros (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos en UF (BCU), 20 años (valores diarios)",,,nacional
F022.BCU9.FLU.AN30.Z.UF.D,Monto adjudicado AFP y otros (miles de UF),,Nacional,D,Operaciones de Mercado Abierto,"Licitación de bonos del BCCh en UF (BCU), 30 años (valores diarios)",,,nacional
F022.VIV.TIP.MA03.UF.Z.D,Vivienda total - Unidades de Fomento - Más de 3 años,,Nacional,D,Tasas de Interés,Tasas de interés promedio del sistema financiero por tipo de colocación y plazo (TIP),,,nacional
F019.TPM.TIN.10.M,Politica Monetaria - EE.UU.,,Nacional,M,Estadísticas Históricas,"Tasas de interés externas (promedios, %)",,,nacional
F022.BCU.STO.Z.Z.UF.M,BCU        (miles de UF),,Nacional,M,Operaciones de Mercado Abierto,"Stock de instrumentos de deuda del BCCh, total en circulación",,,nacional
F022.BCU.TIN.AN02.UF.Z.M,2 años BCU,,Nacional,M,Operaciones de Mercado Abierto,"Tasas de interés de los bonos licitados por el BCCh, en UF (BCU) (porcentaje)",,,nacional
F022.BCU.TIN.AN05.UF.Z.M,5 años BCU,,Nacional,M,Operaciones de Mercado Abierto,"Tasas de interés de los bonos licitados por el BCCh, en UF (BCU) (porcentaje)",,,nacional
F022.BCU.TIN.AN10.UF.Z.M,10 años BCU,,Nacional,M,Operaciones de Mercado Abierto,"Tasas de interés de los bonos licitados por el BCCh, en UF (BCU) (porcentaje)",,,nacional
F022.BCU.TIN.AN20.UF.Z.M,20 años BCU,,Nacional,M,Operaciones de Mercado Abierto,"Tasas de interés de los bonos licitados por el BCCh, en UF (BCU) (porcentaje)",,,nacional
F022.TPM.TIN.D001.NO.Z.M,Tasa  de  interés  de política  monetaria,,Nacional,M,Principales Estadísticas Macro,Tasas de interés de los instrumentos del Banco Central de Chile (porcentaje),,,nacional
F022.VIV.FLU.MA03.UF.Z.M,Vivienda - flujo,,Nacional,M,Indicadores Mercado de la Vivienda,"Tasa y flujo de colocación promedio vivienda (tasas anuales reajustables en UF, miles de millones de pesos)",,,nacional
F022.VIV.STO.TP.Z.P96.M,Vivienda,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones reales (miles de millones de pesos, saldos reales)",,,nacional
F022.VIV.STO.TP.Z.P96R23.M,Vivienda,,Nacional,M,Principales Estadísticas Macro,"Colocaciones reales (miles de millones de pesos, saldos reales)",,,nacional
F022.VIV.STO.Z.NO.CLP.M,Colocaciones de vivenda,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones por tipo de deudor en moneda nacional, saldos (miles de millones de pesos )",,,nacional
F022.VIV.STO.Z.TC.CLP.M,Colocaciones de vivenda,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones por tipo de deudor en moneda extranjera, saldos (miles de millones de pesos)",,,nacional
F022.VIV.STO.Z.Z.CLP.M,Colocaciones de vivienda,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones por tipo de deudor consolidado , saldos (miles de millones de pesos)",,,nacional
F022.VIV.TIP.MA03.UF.Z.M,Vivienda- tasa,,Nacional,M,Indicadores Mercado de la Vivienda,"Tasa y flujo de colocación promedio vivienda (tasas anuales reajustables en UF, miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BBCI.CLP.M,BCI,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BBIC.CLP.M,Bice,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BBR.CLP.M,Do Brasil,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BBTG.CLP.M,BTG Pactual,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BBVA.CLP.M,BBVA,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BCC.CLP.M,China Construction Bank,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BCHI.CLP.M,Bank of China,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BCON.CLP.M,Consorcio,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BCOR.CLP.M,Corpbanca,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BDCH.CLP.M,De Chile,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BDE.CLP.M,Deutsche Bank,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BDNB.CLP.M,DnB NOR Bank ASA,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BEST.CLP.M,Estado,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BFAL.CLP.M,Falabella,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BHS.CLP.M,HSBC,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BINT.CLP.M,Internacional,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BIYC.CLP.M,Itaú-Corpbanca,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BJPM.CLP.M,JP Morgan,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BNAR.CLP.M,Nación Argentina,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BPAR.CLP.M,Paris,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BPEN.CLP.M,Penta,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BRAB.CLP.M,Rabobank,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BRIP.CLP.M,Ripley,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BSAN.CLP.M,Santander,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BSCO.CLP.M,Scotiabank,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BSEC.CLP.M,Security,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BSUD.CLP.M,Sudamericano,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BTAN.CLP.M,Tanner,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.BTOK.CLP.M,Of Tokyo,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones de vivienda, colocaciones del sector bancario (miles de millones de pesos)",,,nacional
F022.VIVBI.STO.Z.Z.CLP.M,Vivienda,,Nacional,M,Estadísticas Monetarias y Financieras,"Colocaciones por tipo de deudor, balances individuales, saldos (miles de millones de pesos)",,,nacional
F089.TPM.TAS.11.M,En la siguiente reunión,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.13.M,Dentro de 2 meses,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.14.M,Dentro de 11 meses,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.15.M,Dentro de 23 meses,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.16.M,Diciembre 2004,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.17.M,Diciembre 2005,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.18.M,Diciembre 2006,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.19.M,Diciembre 2007,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.20.M,Diciembre 2008,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2017.M,Diciembre 2017,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2018.M,Diciembre 2018,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2019.M,Diciembre 2019,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2020.M,Diciembre 2020,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2021.M,Diciembre 2021,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2022.M,Diciembre 2022,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2023.M,Diciembre 2023,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
F089.TPM.TAS.2024.M,Diciembre 2024,,Nacional,M,Expectativas Económicas,Expectativas tasa de política monetaria (porcentaje),,,nacional
