series_code,series_name,region_id,region_name,frequency,chapter,table_name,sector_id,sector_name,region_parse_method
F035.PIB.V12.R.CLP.2018.02.04.Z.09.0.A,Pesca,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",02,Pesca,f035_positional
F035.PIB.V12.R.CLP.2018.03.Z.Z.09.0.A,Minería,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",03,Minería,f035_positional
F035.PIB.V12.R.CLP.2018.04.Z.Z.09.0.A,Industria manufacturera,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",04,Industria,f035_positional
F035.PIB.V12.R.CLP.2018.05.Z.Z.09.0.A,"Electricidad, gas, agua y gestión de desechos",09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",05,"Electricidad, gas, agua y gestión de desechos",f035_positional
F035.PIB.V12.R.CLP.2018.06.Z.Z.09.0.A,Construcción,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",06,Construcción,f035_positional
F035.PIB.V12.R.CLP.2018.08.Z.Z.09.0.A,"Transporte, información y comunicaciones",09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",08,"Transporte, información y comunicaciones",f035_positional
F035.PIB.V12.R.CLP.2018.09.21.Z.09.0.A,Servicios financieros y empresariales,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",09,Servicios financieros y empresariales,f035_positional
F035.PIB.V12.R.CLP.2018.10.Z.Z.09.0.A,Servicios de vivienda e inmobiliarios,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",10,Servicios de vivienda e inmobiliarios,f035_positional
F035.PIB.V12.R.CLP.2018.11.Z.Z.09.0.A,Servicios personales,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",11,Servicios personales,f035_positional
F035.PIB.V12.R.CLP.2018.12.Z.Z.09.0.A,Administración pública,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",12,Administración pública,f035_positional
F035.PIB.V12.R.CLP.2018.COM.Z.Z.09.0.A,Comercio,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",COM,Comercio,f035_positional
F035.PIB.V12.R.CLP.2018.CONT.Z.Z.09.0.A,Producto Interno Bruto,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",CONT,PIB (contribución),f035_positional
F035.PIB.V12.R.CLP.2018.RH.Z.Z.09.0.A,Restaurantes y hoteles,09,La Araucanía,A,Cuentas Nacionales,"PIB por actividad económica, Región de La Araucanía, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",RH,Restaurantes y hoteles,f035_positional
F035.PIB.V12.R.CLP.2018.Z.Z.Z.09.0.A,Región de La Araucanía,09,La Araucanía,A,Cuentas Nacionales,"Producto interno bruto por región, contribución porcentual respecto de igual periodo del año anterior, series empalmadas, referencia 2018",,,f035_positional
F035.PPCP.FLU.R.USD.2018.Z.Z.Z.09.0.A,Región de La Araucanía,09,La Araucanía,A,Regionales,"Producto interno bruto por región, precios corrientes, series empalmadas, referencia 2018 (dólares per cápita)",,,f035_positional
F035.XSE.FLU.N.CLP.2018.03.Z.Z.09.0.A,Minería,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",03,Minería,f035_positional
F035.XSE.FLU.N.CLP.2018.04.Z.Z.09.0.A,Industria,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",04,Industria,f035_positional
F035.XSE.FLU.N.CLP.2018.102.Z.Z.09.0.A,Agropecuario-Silvícola-Pesca,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",102,Agropecuario-silvícola-pesca,f035_positional
F035.XSE.FLU.N.CLP.2018.XBI.Z.Z.09.0.A,Exportación Bienes,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",XBI,Exportaciones de bienes,f035_positional
F035.XSE.FLU.N.CLP.2018.XBS.Z.Z.09.0.A,Exportación Servicios,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",XBS,Exportaciones de servicios,f035_positional
F035.XSE.FLU.N.CLP.2018.Z.Z.Z.09.0.A,Región de La Araucanía,09,La Araucanía,A,Cuentas Nacionales,"Exportación de bienes y servicios, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.XSE.FLU.R.CLP.2018.03.Z.Z.09.0.A,Minería,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",03,Minería,f035_positional
F035.XSE.FLU.R.CLP.2018.04.Z.Z.09.0.A,Industria,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",04,Industria,f035_positional
F035.XSE.FLU.R.CLP.2018.102.Z.Z.09.0.A,Agropecuario-Silvícola-Pesca,09,La Araucanía,A,Cuentas Nacionales,"Componentes de las exportaciones Región de La Araucanía, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",102,Agropecuario-silvícola-pesca,f035_positional
