series_code,series_name,region_id,region_name,frequency,chapter,table_name,sector_id,sector_name,region_parse_method
F035.XSE.FLU.N.CLP.2018.03.Z.Z.01.0.A,Minería,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",03,Minería,f035_positional
F035.XSE.FLU.N.CLP.2018.04.Z.Z.01.0.A,Industria,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",04,Industria,f035_positional
F035.XSE.FLU.N.CLP.2018.102.Z.Z.01.0.A,Agropecuario-Silvícola-Pesca,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",102,Agropecuario-silvícola-pesca,f035_positional
F035.XSE.FLU.N.CLP.2018.XBI.Z.Z.01.0.A,Exportación Bienes,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",XBI,Exportaciones de bienes,f035_positional
F035.XSE.FLU.N.CLP.2018.XBS.Z.Z.01.0.A,Exportación Servicios,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",XBS,Exportaciones de servicios,f035_positional
F035.XSE.FLU.N.CLP.2018.Z.Z.Z.01.0.A,Región de Tarapacá,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.XSE.FLU.R.CLP.2018.03.Z.Z.01.0.A,Minería,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",03,Minería,f035_positional
F035.XSE.FLU.R.CLP.2018.04.Z.Z.01.0.A,Industria,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",04,Industria,f035_positional
F035.XSE.FLU.R.CLP.2018.102.Z.Z.01.0.A,Agropecuario-Silvícola-Pesca,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",102,Agropecuario-silvícola-pesca,f035_positional
F035.XSE.FLU.R.CLP.2018.XBI.Z.Z.01.0.A,Exportación Bienes,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",XBI,Exportaciones de bienes,f035_positional
F035.XSE.FLU.R.CLP.2018.XBS.Z.Z.01.0.A,Exportación Servicios,01,Tarapacá,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Tarapacá, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",XBS,Exportaciones de servicios,f035_positional
F035.XSE.FLU.R.CLP.2018.Z.Z.Z.01.0.A,Región de Tarapacá,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",,,f035_positional
F035.XSE.V12.R.Z.2018.03.Z.Z.01.0.A,Minería,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de Tarapacá, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",03,Minería,f035_positional
F035.XSE.V12.R.Z.2018.04.Z.Z.01.0.A,Industria,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de Tarapacá, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",04,Industria,f035_positional
F035.XSE.V12.R.Z.2018.102.Z.Z.01.0.A,Agropecuario-Silvícola-Pesca,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de Tarapacá, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",102,Agropecuario-silvícola-pesca,f035_positional
F035.XSE.V12.R.Z.2018.XBI.Z.Z.01.0.A,Exportación Bienes,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de Tarapacá, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",XBI,Exportaciones de bienes,f035_positional
F035.XSE.V12.R.Z.2018.XBS.Z.Z.01.0.A,Exportación Servicios,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de Tarapacá, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",XBS,Exportaciones de servicios,f035_positional
F035.XSE.V12.R.Z.2018.XBSSR.Z.Z.01.0.A,Exportaciones de Bienes y Servicios,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios Región de Tarapacá, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",XBSSR,Exportaciones de bienes y servicios,f035_positional
F035.XSE.V12.R.Z.2018.Z.Z.Z.01.0.A,Región de Tarapacá,01,Tarapacá,A,Cuentas Nacionales,"Exportación de bienes y servicios regional, anual, contribución porcentual respecto de igual periodo del año anterior, referencia 2018",,,f035_positional
F035.XSE.FLU.N.CLP.2018.03.Z.Z.02.0.A,Minería,02,Antofagasta,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Antofagasta, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",03,Minería,f035_positional
F035.XSE.FLU.N.CLP.2018.04.Z.Z.02.0.A,Industria,02,Antofagasta,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Antofagasta, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",04,Industria,f035_positional
F035.XSE.FLU.N.CLP.2018.102.Z.Z.02.0.A,Agropecuario-Silvícola-Pesca,02,Antofagasta,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Antofagasta, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",102,Agropecuario-silvícola-pesca,f035_positional
F035.XSE.FLU.N.CLP.2018.XBI.Z.Z.02.0.A,Exportación Bienes,02,Antofagasta,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Antofagasta, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",XBI,Exportaciones de bienes,f035_positional
F035.XSE.FLU.N.CLP.2018.XBS.Z.Z.02.0.A,Exportación Servicios,02,Antofagasta,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Antofagasta, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",XBS,Exportaciones de servicios,f035_positional
F035.XSE.FLU.N.CLP.2018.Z.Z.Z.02.0.A,Región de Antofagasta,02,Antofagasta,A,Cuentas Nacionales,"Exportación de bienes y servicios, anual, a precios corrientes, referencia 2018 (miles de millones de pesos)",,,f035_positional
F035.XSE.FLU.R.CLP.2018.03.Z.Z.02.0.A,Minería,02,Antofagasta,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Antofagasta, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",03,Minería,f035_positional
F035.XSE.FLU.R.CLP.2018.04.Z.Z.02.0.A,Industria,02,Antofagasta,A,Cuentas Nacionales,"Componentes de las exportaciones Región de Antofagasta, anual, volumen a precios del año anterior encadenado, referencia 2018 (miles de millones de pesos encadenados)",04,Industria,f035_positional
