series_code,n_obs,date_min,date_max,frequency,region_id,error
F034.CEYSTA.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,01,
F034.NVATA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,01,
F034.SAHTA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,01,
F034.SANHTA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,01,
F034.CEYSAN.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,02,
F034.NVAAN.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,02,
F034.SAHAN.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,02,
F034.SANHAN.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,02,
F034.CEYSAT.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,03,
F034.NVAAT.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,03,
F034.SAHAT.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,03,
F034.SANHAT.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,03,
F034.CEYSCO.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,04,
F034.NVACO.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,04,
F034.SAHCO.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,04,
F034.SANHCO.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,04,
F034.CEYSVA.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,05,
F034.NVAVA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,05,
F034.SAHVA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,05,
F034.SANHVA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,05,
F034.CEYSLI.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,06,
F034.NVALI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,06,
F034.SAHLI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,06,
F034.SANHLI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,06,
F034.CEYSML.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,07,
F034.NVAML.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,07,
F034.SAHML.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,07,
F034.SANHML.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,07,
F034.CEYSBI.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,08,
F034.NVABI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,08,
F034.SAHBI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,08,
F034.SANHBI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,08,
F034.CEYSAR.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,09,
F034.NVAAR.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,09,
F034.SAHAR.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,09,
F034.SANHAR.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,09,
F034.CEYSLL.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,10,
F034.NVALL.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,10,
F034.SAHLL.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,10,
F034.SANHLL.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,10,
F034.CEYSAI.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,11,
F034.NVAAI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,11,
F034.SAHAI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,11,
F034.SANHAI.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,11,
F034.CEYSMA.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,12,
F034.NVAMA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,12,
F034.SAHMA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,12,
F034.SANHMA.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,12,
F034.CEYSRM.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,13,
F034.NVARM.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,13,
F034.SAHRM.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,13,
F034.SANHRM.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,13,
F034.CEYSLR.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,14,
F034.NVALR.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,14,
F034.SAHLR.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,14,
F034.SANHLR.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,14,
F034.CEYSAP.FLU.MEFT.Z.0.M,158,2013-05-01,2026-06-01,M,15,
F034.NVAAP.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,15,
F034.SAHAP.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,15,
F034.SANHAP.FLU.INE.Z.0.M,149,2014-01-01,2026-05-01,M,15,
F034.CEYSNB.FLU.MEFT.Z.0.M,94,2018-09-01,2026-06-01,M,16,
F034.NVANB.FLU.INE.Z.0.M,93,2018-09-01,2026-05-01,M,16,
F034.SAHNB.FLU.INE.Z.0.M,93,2018-09-01,2026-05-01,M,16,
F034.SANHNB.FLU.INE.Z.0.M,93,2018-09-01,2026-05-01,M,16,
