series_code,n_obs,date_min,date_max,frequency,region_id,error
F022.SDVCO.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,04,
F022.CCPNVA.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,05,
F022.DCM90VA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,05,
F022.DCS90VA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,05,
F022.DV90VA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,05,
F022.SCCPNVA.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,05,
F022.SDVVA.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,05,
F022.CCPNLI.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,06,
F022.DCM90LI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,06,
F022.DCS90LI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,06,
F022.DV90LI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,06,
F022.SCCPNLI.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,06,
F022.SDVLI.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,06,
F022.CCPNML.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,07,
F022.DCM90ML.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,07,
F022.DCS90ML.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,07,
F022.DV90ML.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,07,
F022.SCCPNML.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,07,
F022.SDVML.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,07,
F022.CCPNBI.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,08,
F022.DCM90BI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,08,
F022.DCS90BI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,08,
F022.DV90BI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,08,
F022.SCCPNBI.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,08,
F022.SDVBI.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,08,
F022.CCPNAR.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,09,
F022.DCM90AR.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,09,
F022.DCS90AR.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,09,
F022.DV90AR.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,09,
F022.SCCPNAR.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,09,
F022.SDVAR.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,09,
F022.CCPNLL.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,10,
F022.DCM90LL.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,10,
F022.DCS90LL.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,10,
F022.DV90LL.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,10,
F022.SCCPNLL.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,10,
F022.SDVLL.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,10,
F022.CCPNAI.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,11,
F022.DCM90AI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,11,
F022.DCS90AI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,11,
F022.DV90AI.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,11,
F022.SCCPNAI.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,11,
F022.SDVAI.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,11,
F022.CCPNMA.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,12,
F022.DCM90MA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,12,
F022.DCS90MA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,12,
F022.DV90MA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,12,
F022.SCCPNMA.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,12,
F022.SDVMA.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,12,
F022.CCPNRM.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,13,
F022.DCM90RM.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,13,
F022.DCS90RM.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,13,
F022.DV90RM.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,13,
F022.SCCPNRM.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,13,
F022.SDVRM.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,13,
F022.CCPNLR.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,14,
F022.DCM90LR.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,14,
F022.DCS90LR.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,14,
F022.DV90LR.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,14,
F022.SCCPNLR.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,14,
F022.SDVLR.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,14,
F022.CCPNAP.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,15,
F022.DCM90AP.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,15,
F022.DCS90AP.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,15,
F022.DV90AP.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,15,
F022.SCCPNAP.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,15,
F022.SDVAP.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,15,
F022.CCPNNB.STO.Z.Z.Z.M,93,2018-10-01,2026-06-01,M,16,
F022.DCM90NB.TAS.Z.Z.Z.M,92,2018-10-01,2026-05-01,M,16,
F022.DCS90NB.TAS.Z.Z.Z.M,92,2018-10-01,2026-05-01,M,16,
F022.DV90NB.TAS.Z.Z.Z.M,92,2018-10-01,2026-05-01,M,16,
F022.SCCPNNB.STO.Z.Z.CLP.M,93,2018-10-01,2026-06-01,M,16,
F022.SDVNB.STO.Z.Z.CLP.M,93,2018-10-01,2026-06-01,M,16,
