series_code,n_obs,date_min,date_max,frequency,region_id,error
F022.CCPNTA.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,01,
F022.DCM90TA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,01,
F022.DCS90TA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,01,
F022.DV90TA.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,01,
F022.SCCPNTA.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,01,
F022.SDVTA.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,01,
F022.CCPNAN.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,02,
F022.DCM90AN.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,02,
F022.DCS90AN.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,02,
F022.DV90AN.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,02,
F022.SCCPNAN.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,02,
F022.SDVAN.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,02,
F022.CCPNAT.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,03,
F022.DCM90AT.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,03,
F022.DCS90AT.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,03,
F022.DV90AT.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,03,
F022.SCCPNAT.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,03,
F022.SDVAT.STO.Z.Z.CLP.M,222,2008-01-01,2026-06-01,M,03,
F022.CCPNCO.STO.Z.Z.Z.M,210,2009-01-01,2026-06-01,M,04,
F022.DCM90CO.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,04,
F022.DCS90CO.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,04,
F022.DV90CO.TAS.Z.Z.Z.M,221,2008-01-01,2026-05-01,M,04,
F022.SCCPNCO.STO.Z.Z.CLP.M,210,2009-01-01,2026-06-01,M,04,
