series_code,n_obs,date_min,date_max,frequency,region_id,error
F035.XSE.FLU.N.CLP.2018.03.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.N.CLP.2018.04.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.N.CLP.2018.102.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.N.CLP.2018.XBI.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.N.CLP.2018.XBS.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.N.CLP.2018.Z.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.R.CLP.2018.03.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.R.CLP.2018.04.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.R.CLP.2018.102.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.R.CLP.2018.XBI.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.R.CLP.2018.XBS.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.FLU.R.CLP.2018.Z.Z.Z.01.0.A,13,2013-01-01,2025-01-01,A,01,
F035.XSE.V12.R.Z.2018.03.Z.Z.01.0.A,12,2014-01-01,2025-01-01,A,01,
F035.XSE.V12.R.Z.2018.04.Z.Z.01.0.A,12,2014-01-01,2025-01-01,A,01,
F035.XSE.V12.R.Z.2018.102.Z.Z.01.0.A,12,2014-01-01,2025-01-01,A,01,
F035.XSE.V12.R.Z.2018.XBI.Z.Z.01.0.A,12,2014-01-01,2025-01-01,A,01,
F035.XSE.V12.R.Z.2018.XBS.Z.Z.01.0.A,12,2014-01-01,2025-01-01,A,01,
F035.XSE.V12.R.Z.2018.XBSSR.Z.Z.01.0.A,12,2014-01-01,2025-01-01,A,01,
F035.XSE.V12.R.Z.2018.Z.Z.Z.01.0.A,12,2014-01-01,2025-01-01,A,01,
F035.XSE.FLU.N.CLP.2018.03.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.N.CLP.2018.04.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.N.CLP.2018.102.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.N.CLP.2018.XBI.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.N.CLP.2018.XBS.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.N.CLP.2018.Z.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.R.CLP.2018.03.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.R.CLP.2018.04.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.R.CLP.2018.102.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.R.CLP.2018.XBI.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.R.CLP.2018.XBS.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.FLU.R.CLP.2018.Z.Z.Z.02.0.A,13,2013-01-01,2025-01-01,A,02,
F035.XSE.V12.R.Z.2018.03.Z.Z.02.0.A,12,2014-01-01,2025-01-01,A,02,
F035.XSE.V12.R.Z.2018.04.Z.Z.02.0.A,12,2014-01-01,2025-01-01,A,02,
F035.XSE.V12.R.Z.2018.102.Z.Z.02.0.A,12,2014-01-01,2025-01-01,A,02,
F035.XSE.V12.R.Z.2018.XBI.Z.Z.02.0.A,12,2014-01-01,2025-01-01,A,02,
F035.XSE.V12.R.Z.2018.XBS.Z.Z.02.0.A,12,2014-01-01,2025-01-01,A,02,
F035.XSE.V12.R.Z.2018.XBSSR.Z.Z.02.0.A,12,2014-01-01,2025-01-01,A,02,
F035.XSE.V12.R.Z.2018.Z.Z.Z.02.0.A,12,2014-01-01,2025-01-01,A,02,
F035.XSE.FLU.N.CLP.2018.03.Z.Z.03.0.A,13,2013-01-01,2025-01-01,A,03,
