region,mean_gdp,share,growth,volatility
Metropolitana,79318.20250214286,42.2774738361054,2.1918355568342056,4.645006155862193
Antofagasta,19572.791253571428,10.414019018321287,2.2346829989657033,5.753950946724619
Biobío,14307.090925,7.625362524434253,2.2355118245006493,3.793488645342241
Valparaíso,13577.51795785714,7.238307512845282,2.1665989949960593,3.76888129939932
O'Higgins,8716.62074,4.641214036974996,2.313470592289428,4.788130470054606
Los Lagos,8128.964197857143,4.332593215083663,2.204009429180855,3.785597819485805
Atacama,7773.849034999999,4.13739875296277,2.181945752981167,5.61241610667444
Maule,6760.336327142857,3.6030793942108175,2.294107317446183,3.5777765840525526
Araucanía,5684.103770000001,3.0294102346421465,2.2476274600844453,3.9744286630109587
Tarapacá,5659.853225000001,3.0129288131273024,2.2326367127273743,5.074343672909978
Coquimbo,5406.397976428571,2.880120890107633,2.1737344230293996,4.2738705109230954
Los Ríos,3474.6763542857143,1.8516541921475334,2.2195497177494583,3.8118572389326557
Ñuble,3114.2403585714283,1.659727101629486,2.2940957913157685,3.879821385598469
Magallanes,2744.7431392857143,1.4636137787205517,2.0579573156166324,4.71532762846329
Arica y Parinacota,1977.1369514285716,1.0548290534054923,2.0258028509346153,4.265388744402678
Aysén,1458.5196507142857,0.7782676452813744,1.9315683193996178,4.277258129397446
